CASO 0:

7: 15 KFLOPT
					5: 111 IOP250T
					5: 103 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 95 IOP250T
					5: 93 IOP250T
					5: 87 IOP250T
					5: 89 IOP250T
					5: 94 IOP250T
					5: 100 IOP250T
					5: 91 IOP250T
					5: 101 IOP250T
					5: 103 IOP250T
					5: 99 IOP250T
					5: 100 IOP250T
					5: 102 IOP250T
					5: 100 IOP250T
					5: 100 IOP250T
					5: 99 IOP250T
					5: 101 IOP250T
					5: 103 IOP250T
					5: 101 IOP250T
					5: 101 IOP250T
					5: 98 IOP250T
					5: 99 IOP250T
					5: 103 IOP250T
					5: 104 IOP250T
					5: 102 IOP250T
					5: 104 IOP250T
					5: 103 IOP250T
					5: 105 IOP250T
					5: 105 IOP250T
					5: 100 IOP250T
					5: 107 IOP250T
					5: 101 IOP250T
					5: 104 IOP250T
7: 17 KFLOPT
					5: 107 IOP250T
					5: 103 IOP250T
					5: 105 IOP250T
					5: 104 IOP250T
					5: 101 IOP250T
					5: 103 IOP250T
					5: 102 IOP250T
					5: 108 IOP250T
					5: 105 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 101 IOP250T
					5: 100 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 104 IOP250T
					5: 105 IOP250T
					5: 104 IOP250T
					5: 106 IOP250T
					5: 103 IOP250T
					5: 104 IOP250T
					5: 102 IOP250T
					5: 96 IOP250T
					5: 103 IOP250T
					5: 98 IOP250T
					5: 96 IOP250T
					5: 101 IOP250T
					5: 103 IOP250T
					5: 100 IOP250T
					5: 103 IOP250T
					5: 104 IOP250T
					5: 102 IOP250T
					5: 105 IOP250T
					5: 103 IOP250T
					5: 103 IOP250T
					5: 106 IOP250T
7: 17 KFLOPT
					5: 108 IOP250T
					5: 100 IOP250T
					5: 99 IOP250T
					5: 102 IOP250T
					5: 101 IOP250T
					5: 100 IOP250T
					5: 101 IOP250T
					5: 101 IOP250T
					5: 105 IOP250T
					5: 104 IOP250T
					5: 103 IOP250T
					5: 105 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 110 IOP250T
					5: 101 IOP250T
					5: 100 IOP250T
					5: 104 IOP250T
					5: 102 IOP250T
					5: 100 IOP250T
					5: 104 IOP250T
					5: 109 IOP250T
					5: 111 IOP250T
					5: 109 IOP250T
					5: 100 IOP250T
					5: 101 IOP250T
					5: 102 IOP250T
					5: 103 IOP250T
					5: 104 IOP250T
					5: 105 IOP250T
					5: 110 IOP250T
					5: 104 IOP250T
					5: 103 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 101 IOP250T
7: 18 KFLOPT
					5: 104 IOP250T
					5: 104 IOP250T
					5: 105 IOP250T
					5: 104 IOP250T
					5: 101 IOP250T
					5: 103 IOP250T
					5: 102 IOP250T
					5: 104 IOP250T
					5: 102 IOP250T
					5: 101 IOP250T
					5: 105 IOP250T
					5: 101 IOP250T
					5: 103 IOP250T
					5: 101 IOP250T
					5: 105 IOP250T
					5: 106 IOP250T
					5: 104 IOP250T
					5: 104 IOP250T
					5: 104 IOP250T
					5: 100 IOP250T
					5: 104 IOP250T
					5: 103 IOP250T
					5: 102 IOP250T
					5: 103 IOP250T
					5: 101 IOP250T
					5: 100 IOP250T
					5: 101 IOP250T
					5: 105 IOP250T
					5: 100 IOP250T
					5: 105 IOP250T
					5: 101 IOP250T
					5: 108 IOP250T
					5: 103 IOP250T
					5: 103 IOP250T
					5: 102 IOP250T
					5: 103 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 101 IOP250T
7: 16 KFLOPT
					5: 110 IOP250T
					5: 107 IOP250T
					5: 101 IOP250T
					5: 101 IOP250T
